source,partition_key,files,records,bytes,content_sha256
mercadona_catalog_api,ingestion_date=2026-09-01/wh=bcn1,152,4611,8275004,0012209916d59b605ea51702c305dfd68e323f8e4ae4c12fcaaa2ef8395a2fca
mercadona_catalog_api,ingestion_date=2026-09-01/wh=mad1,152,4578,8212463,f7ae8969b6e0b8c33d8284dce2d858eed5b590059d0433e81f2ebced10153734
mercadona_catalog_api,ingestion_date=2026-09-01/wh=svq1,152,4569,8196880,21b17c6b4aaaafd14d01182ca725528ea778fb65a659dbc794a443957426713e
mercadona_catalog_api,ingestion_date=2026-09-01/wh=vlc1,152,4624,8293505,43736b3528d2a03afc1bf2608c85146ac89f9e4a9391722f4163471efc8a0bb7
simulated_oltp,ingestion_date=2026-08-24/wh=bcn1,1,95498,43747339,a3425aaed8d9b45e7256714d0b1ab92db4df7b39a55bf6a46eb5db5d4311e4d2
simulated_oltp,ingestion_date=2026-08-24/wh=mad1,1,128771,58463729,8e18ce6e123c03a44993c6186cd9eebe1ee5fba3dd5f340d3238670751fa0135
simulated_oltp,ingestion_date=2026-08-24/wh=svq1,1,28262,12909452,3c1624b836b434fa4b5b6011b62b1b9aa16f5b027eb129d577f91c9463c4bbbc
simulated_oltp,ingestion_date=2026-08-24/wh=vlc1,1,34295,15996658,921181cfc6a49756bd9dd3a25abd45e509cc293b32b63aba60c5d7cb4fe3da71
simulated_oltp,ingestion_date=2026-08-27/wh=bcn1,1,95498,43747339,c1bff1e87428431f6d12fca4bc0a4f713e44432fa0ead558b242f169aa783de9
simulated_oltp,ingestion_date=2026-08-27/wh=mad1,1,128771,58463729,4247632c8dd600a2f1fb60b8a7fa148cf52a9953499ac71f6bac6db4d9767fef
simulated_oltp,ingestion_date=2026-08-27/wh=svq1,1,28262,12909452,c96f27f0b89bf0e96fb22157d92acd00692058f263649ef094b55c6da8cf4f9d
simulated_oltp,ingestion_date=2026-08-27/wh=vlc1,1,34295,15996658,5429e82115fb6692da8dfe0ecd8d24633ecbf375b60af9088910d901847eabbd
simulated_orders,ingestion_date=2026-08-24/wh=bcn1,1,59075,46311736,00925c187d224c218ab485f04e071ef171be9842e0a8f8ba76a7459e96492b4f
simulated_orders,ingestion_date=2026-08-24/wh=mad1,1,64822,51223354,5a475d6b5dc3283b6973677286a424d07aedbd92236aa5f73bd632eb9d382be2
simulated_orders,ingestion_date=2026-08-24/wh=svq1,1,15353,11947281,1a388eea948fc3bd6487ccb2d81f8ca3604b29c2a0266bf2cbe1fcd8814b6b93
simulated_orders,ingestion_date=2026-08-24/wh=vlc1,1,20242,15953201,891a77bbb0d4f17cea2d87218b8b5a4711275e8c99499fa8c8a87ca299095f87
